branch,issue_type,severity,count
python_claude_2,CODE_SMELL,MAJOR,1
python_claude_2,CODE_SMELL,CRITICAL,3
python_claude_1,CODE_SMELL,MINOR,5
python_claude_1,CODE_SMELL,CRITICAL,1
python_claude_1,CODE_SMELL,MAJOR,5
python_deepseek_3,CODE_SMELL,MAJOR,1
python_deepseek_3,CODE_SMELL,CRITICAL,1
python_deepseek_3,CODE_SMELL,MINOR,4
python_deepseek_2,CODE_SMELL,MINOR,2
python_deepseek_1,CODE_SMELL,MAJOR,1
python_gpt_3,CODE_SMELL,CRITICAL,2
python_gpt_3,CODE_SMELL,MAJOR,1
python_gpt_3,CODE_SMELL,MINOR,2
python_gpt_3,BUG,MAJOR,1
python_gpt_2,CODE_SMELL,CRITICAL,2
python_gpt_2,CODE_SMELL,MAJOR,3
python_gpt_2,CODE_SMELL,MINOR,1
python_gpt_1,CODE_SMELL,MAJOR,2
python_gpt_1,CODE_SMELL,CRITICAL,1
java_claude_3,CODE_SMELL,MAJOR,14
java_claude_3,CODE_SMELL,MINOR,1
java_claude_3,CODE_SMELL,CRITICAL,1
java_claude_3,BUG,MINOR,5
java_claude_2,CODE_SMELL,MAJOR,21
java_claude_2,CODE_SMELL,MINOR,5
java_claude_2,CODE_SMELL,CRITICAL,2
java_claude_2,BUG,CRITICAL,1
java_claude_1,CODE_SMELL,MAJOR,8
java_claude_1,CODE_SMELL,MINOR,10
java_claude_1,BUG,MAJOR,3
java_claude_1,CODE_SMELL,CRITICAL,1
java_deepseek_3,CODE_SMELL,MAJOR,18
java_deepseek_2,CODE_SMELL,MAJOR,13
java_deepseek_2,CODE_SMELL,MINOR,4
java_deepseek_2,CODE_SMELL,CRITICAL,1
java_deepseek_1,CODE_SMELL,MAJOR,9
java_deepseek_1,CODE_SMELL,MINOR,2
java_gpt_3,CODE_SMELL,MAJOR,21
java_gpt_3,CODE_SMELL,MINOR,2
java_gpt_3,CODE_SMELL,CRITICAL,1
java_gpt_2,CODE_SMELL,MAJOR,18
java_gpt_2,CODE_SMELL,MINOR,1
java_gpt_2,CODE_SMELL,CRITICAL,1
java_gpt_1,CODE_SMELL,MAJOR,21
java_gpt_1,CODE_SMELL,CRITICAL,1
java_gpt_1,CODE_SMELL,MINOR,4
main,CODE_SMELL,MAJOR,20
main,CODE_SMELL,CRITICAL,1
