branch,bugs,vulnerabilities,code_smells,coverage,duplicated_lines_density,ncloc,sqale_index,sqale_debt_ratio,security_hotspots
python_claude_3,0,0,9,0.0,0.0,942,45,0.2,5
python_claude_2,0,0,4,0.0,0.0,830,21,0.1,0
python_claude_1,0,0,11,0.0,2.2,761,41,0.2,0
python_deepseek_3,0,0,6,0.0,0.0,270,27,0.3,0
python_deepseek_2,0,0,2,0.0,0.0,266,10,0.1,0
python_deepseek_1,0,0,1,0.0,0.0,175,1,0.0,0
python_gpt_3,1,0,5,0.0,1.3,307,49,0.5,0
python_gpt_2,0,0,6,0.0,0.0,303,64,0.7,0
python_gpt_1,0,0,3,0.0,0.0,311,29,0.3,0
java_claude_3,5,0,16,0.0,0.0,962,135,0.5,0
java_claude_2,1,0,28,0.0,0.0,865,174,0.7,2
java_claude_1,3,0,19,0.0,0.0,901,99,0.4,0
java_deepseek_3,0,0,18,0.0,0.0,497,160,1.1,0
java_deepseek_2,0,0,18,0.0,0.0,468,124,0.9,0
java_deepseek_1,0,0,11,0.0,0.0,470,73,0.5,0
java_gpt_3,0,0,24,0.0,0.0,447,212,1.6,0
java_gpt_2,0,0,20,0.0,0.0,452,164,1.2,1
java_gpt_1,0,0,26,0.0,0.0,445,177,1.3,0
main,0,0,21,,0.0,578,188,1.1,2
